ΥΠΟΚΑΤΑΣΤΑΤΑ ΚΑΦΕ,1928,1927,,,
ΥΠΟΚΑΤΑΣΤΑΤΑ ΑΛΑΤΙΟΥ,1925,1852,,,
ΧΩΡΙΣ ΛΑΚΤΟΖΗ,1947,,,,
ΧΩΡΙΣ ΓΛΟΥΤΕΝΗ,1946,,,,
ΥΠΟΚΑΤΑΣΤΑΤΑ ΓΕΥΜΑΤΟΣ,1926,,,,
ΒΙΟΛΟΓΙΚΑ ΠΡΟΙΟΝΤΑ,1634,,,,
ΡΟΦΗΜΑΤΑ,1877,,,,
ΑΝΤΙΜΕΤΩΠΙΣΗ ΠΡΟΒΛΗΜΑΤΩΝ,1595,,,,
ΑΔΥΝΑΤΙΣΜΑ,1892,,,,
ΑΛΛΕΡΓΙΑ,1573,,,,
ΑΝΑΙΜΙΑ,1574,,,,
ΑΝΤΙΓΗΡΑΝΣΗ,1584,,,,
ΑΝΤΙΟΞΕΙΔΩΤΙΚΑ ,1597,,,,
ΑΝΤΙΦΛΕΓΜΟΝΩΔΗ,1600,,,,
ΑΠΟΤΟΞΙΝΩΣΗ ΣΥΚΩΤΙΟΥ,1605,,,,
ΑΡΘΡΙΤΙΔΑ,1608,,,,
ΑΣΦΑΛΕΣ ΜΑΥΡΙΣΜΑ,1613,,,,
ΒΕΛΤΙΩΣΗ ΑΝΟΣΟΠΟΙΗΤΙΚΟΥ,1630,,,,
ΒΗΧΑΣ/ ΛΟΙΜΩΞΕΙΣ/ ΙΩΣΕΙΣ,1633,,,,
ΔΙΑΒΗΤΗΣ,1663,,,,
ΔΙΑΡΡΟΙΑ,1666,,,,
ΔΥΣΑΝΕΞΙΑ ΣΤΗ ΛΑΚΤΟΖΗ,1670,,,,
ΔΥΣΚΟΙΛΙΟΤΗΤΑ,1671,,,,
ΕΓΚΥΜΟΣΥΝΗ,1673,,,,
ΕΜΜΗΝΟΠΑΥΣΗ,1686,,,,
ΕΝΕΡΓΕΙΑ - ΤΟΝΩΣΗ,1689,,,,
ΕΡΠΗΣ,1703,,,,
ΘΥΡΕΟΕΙΔΗΣ,1714,,,,
ΚΑΤΑΚΡΑΤΗΣΗ ΥΓΡΩΝ - ΔΙΟΥΡΗΤΙΚΑ,1732,,,,
ΚΡΥΟΛΟΓΗΜΑ,1753,,,,
ΚΥΤΤΑΡΙΤΙΔΑ,1755,,,,
ΜΝΗΜΗ - ΝΟΗΤΙΚΕΣ ΛΕΙΤΟΥΡΓΙΕΣ,1802,,,,
